,inicio_termo,tamanho_termo,termo
1268,vi,10,viabilizar
1269,fl,5,floor
1270,in,7,inteiro
1271,bá,6,básico
1272,wo,9,workshops
1273,or,6,ordens
1274,co,11,consultando
1275,to,6,topics
1276,vo,6,volume
1277,au,9,autonomia
1278,cl,5,clima
1279,av,6,avançe
1280,te,6,temido
1281,at,11,atribuições
1282,an,5,antes
1283,pá,7,páginas
1284,re,14,regulamentação
1285,pr,9,presentes
1286,py,6,python
1287,ce,8,certeiro
1288,cr,5,crise
1289,ir,4,irpj
1290,di,11,diferencial
1291,ad,15,administrativos
1292,be,10,benefícios
1293,de,10,detrimento
1294,ed,3,eds
1295,et,5,etapa
1296,fe,10,fechamento
1297,po,7,porquês
1298,co,10,consolidar
1299,le,9,leiteiras
1300,di,12,diversificar
1301,co,12,considerando
1302,de,9,demandada
1303,fi,8,finanças
1304,ef,9,eficiente
1305,hi,9,hipóteses
1306,tr,12,trabalhistas
1307,ve,8,vendedor
1308,nu,6,nutrir
1309,ch,6,chaves
1310,ec,9,econômica
1311,rb,3,rbv
1312,ár,4,área
1313,fr,10,frequência
1314,po,13,potencializam
1315,re,4,real
1316,li,10,lideranças
1317,pe,8,perfeita
1318,re,11,recebimento
1319,cu,7,cultura
1320,es,6,estime
1321,ju,6,juntar
1322,si,8,sinônimo
1323,af,5,afeta
1324,po,8,possível
1325,en,5,então
1326,in,11,interrupção
1327,pe,10,perdimento
1328,ti,8,timeline
1329,br,11,brincadeira
1330,al,9,almejados
1331,re,9,relaciona
1332,mú,9,múltiplas
1333,ap,9,aprovação
1334,au,10,automation
1335,fa,5,falso
1336,ve,8,vencidas
1337,fo,5,força
1338,ag,7,agregar
1339,pa,12,particulares
1340,co,12,compromissos
1341,sh,5,share
1342,re,7,recurso
1343,in,16,indicadoresplano
1344,ve,10,verdadeira
1345,qu,7,quantum
1346,re,11,recolocação
1347,ge,8,gerencia
1348,co,11,contratuais
1349,co,10,comparando
1350,sa,11,satisfeitos
1351,au,13,automotivação
1352,de,8,deduzido
1353,no,7,norteia
1354,le,12,levantamento
1355,pr,9,produtiva
1356,ct,4,ctas
1357,co,8,conectar
1358,si,8,sindical
1359,ib,3,ibm
1360,e-,7,e-mails
1361,co,8,completa
1362,fu,6,funnel
1363,rá,7,rápidas
1364,tr,13,trabalhadores
1365,sp,6,spears
1366,au,9,aumentada
1367,lo,6,longe.
1368,pe,7,período
1369,ka,6,kanitz
1370,br,13,brainstorming
1371,si,4,site
1372,vi,6,viável
1373,oc,7,ocorrer
1374,es,8,estrelas
1375,la,8,lançá-lo
1376,de,8,descobre
1377,si,11,sistemático
1378,es,9,especiais
1379,va,6,variar
1380,re,15,representatives
1381,es,9,estimular
1382,ni,5,nisso
1383,re,10,referência
1384,po,13,positivamente
1385,de,10,descritiva
1386,so,13,sobrevivência
1387,ex,12,expectativas
1388,mo,5,monte
1389,nu,8,nutrição
1390,co,7,confira
1391,ga,8,garantir
1392,to,7,tomadas
1393,ju,8,julgadas
1394,lo,4,loss
1395,li,8,limitada
1396,co,5,cobit
1397,ca,6,canais
1398,po,9,polêmicas
1399,ha,7,harvard
1400,fi,3,fim
1401,pr,9,prestígio
1402,fa,11,faturamento
1403,ap,11,apropriadas
1404,al,12,alinhamentos
1405,fe,6,feitos
1406,me,6,mestre
1407,ge,8,gerações
1408,in,10,inovadoras
1409,di,8,diversos
1410,ef,7,efetuar
1411,an,9,analítico
1412,pr,14,pré-requisitos
1413,op,9,operações
1414,af,9,afinidade
1415,pl,10,planejando
1416,qu,6,quadro
1417,me,7,mensura
1418,de,10,decorrente
1419,go,7,governo
1420,at,10,atividades
1421,or,11,orientações
1422,re,11,representam
1423,ou,7,ouvinte
1424,pd,4,pdca
1425,id,8,idêntico
1426,de,13,desequilibram
1427,va,3,van
1428,ba,5,batna
1429,gr,6,grande
1430,di,7,disparo
1431,di,11,direcionado
1432,ma,5,malha
1433,cr,3,crm
1434,au,8,aumentar
1435,pr,7,pressão
1436,pm,3,pmo
1437,so,5,sorte
1438,ví,7,vínculo
1439,ou,9,ouvidoria
1440,ap,11,aprimorando
1441,pa,8,panorama
1442,mí,6,mídias
1443,di,12,diagnosticar
1444,es,5,estar
1445,do,4,done
1446,ca,5,capex
1447,fi,10,financeiro
1448,gu,5,guiar
1449,hi,9,histórico
1450,ad,9,adequação
1451,fo,10,formulário
1452,co,9,coletando
1453,in,11,insolvência
1454,te,4,tema
1455,mo,8,moderado
1456,in,9,incluídos
1457,in,9,investors
1458,ca,3,cap
1459,ex,14,exequibilidade
1460,co,5,corpo
1461,po,7,pontuar
1462,ab,10,absorvidas
1463,aq,9,aquisição
1464,cp,3,cpm
1465,de,11,desperdício
1466,em,9,emocional
1467,se,11,segmentados
1468,me,8,mensurar
1469,an,11,analisarmos
1470,em,7,emoções
1471,ft,3,fta
1472,en,7,engajar
1473,to,6,tomada
1474,cu,5,curto
1475,in,10,incidência
1476,eq,6,equipe
1477,tr,6,tribos
1478,re,10,relevância
1479,ve,3,ver
1480,re,6,regime
1481,pa,5,pacto
1482,or,5,ordem
1483,co,11,comunicador
1484,id,14,identificá-los
1485,em,14,emocionalmente
1486,au,10,automática
1487,fo,7,fornece
1488,in,10,inventário
1489,di,11,diariamente
1490,ti,6,ticket
1491,pó,3,pós
1492,di,11,diferenciar
1493,or,15,organizacionais
1494,so,8,soluções
1495,pa,6,países
1496,ap,11,aprendizado
1497,ge,11,generalista
1498,bs,3,bsc
1499,de,11,descobertas
1500,tr,5,troca
1501,pr,10,promissora
1502,up,9,upselling
1503,ch,5,chain
1504,co,5,coisa
1505,of,8,oferecer
1506,nu,5,numpy
1507,in,7,inicial
1508,fe,10,ferramenta
1509,mu,13,multicultural
1510,su,7,suporte
1511,fi,4,fixa
1512,ad,10,adquiridas
1513,li,8,listados
1514,ok,4,okrs
1515,me,4,meio
1516,fu,11,fundamental
1517,hu,6,humano
1518,ut,9,utilizado
1519,es,10,escondidos
1520,ki,4,kiqs
1521,se,9,sensivity
1522,im,13,implementando
1523,ob,11,observáveis
1524,re,8,resolveu
1525,co,11,colaborador
1526,he,10,headcounts
1527,de,11,descobrindo
1528,qu,9,quaisquer
1529,ev,3,evp
1530,co,9,comissões
1531,ev,6,evitar
1532,as,10,associação
1533,no,5,nosql
1534,co,12,contribuição
1535,re,14,relacionamento
1536,te,9,temporais
1537,fo,8,formatos
1538,ob,15,obrigatoriedade
1539,mó,6,módulo
1540,un,10,university
1541,ba,6,baixos
1542,te,6,testar
1543,de,7,desvios
1544,bu,8,buzzsumo
1545,po,9,portfolio
1546,us,7,usuária
1547,ga,10,garantidor
1548,ví,8,vínculos
1549,di,9,dispostas
1550,ex,11,experiência
1551,in,10,influência
1552,di,13,diferenciação
1553,or,9,orçamento
1554,au,8,auxiliar
1555,im,7,impacta
1556,co,12,competências
1557,bô,5,bônus
1558,rf,3,rfp
1559,at,10,ativamente
1560,ze,4,zero
1561,us,5,usada
1562,5-,5,5-why
1563,es,8,estoques
1564,es,9,esperadas
1565,tr,9,transação
1566,co,12,conformidade
1567,du,7,duração
1568,or,12,organizações
1569,re,9,realmente
1570,me,9,melhorias
1571,de,8,desenhos
1572,el,10,elaboração
1573,do,6,domine
1574,fi,5,fisco
1575,mb,4,mbti
1576,ge,12,geomarketing
1577,in,9,indiretos
1578,pa,8,parceiro
1579,si,9,sinônimos
1580,va,5,vacas
1581,ps,10,psicologia
1582,im,9,implantar
1583,th,9,thinking…
1584,ne,11,necessidade
1585,ar,4,arte
1586,se,10,segregação
1587,lo,11,localização
1588,dé,7,débitos
1589,em,10,employment
1590,st,7,steeple
1591,me,7,metrics
1592,fi,3,fit
1593,as,9,assertivo
1594,wi,10,wireframes
1595,va,9,variáveis
1596,di,10,direcionar
1597,re,6,reaver
1598,ve,3,vez
1599,co,7,confuso
1600,di,11,disruptivos
1601,pr,8,promoter
1602,ad,13,administração
1603,pó,16,pós-instrucional
1604,hi,11,hierarquias
1605,vi,6,vindas
1606,im,11,implicações
1607,ma,7,mailing
1608,op,12,operacionais
1609,ga,10,garantindo
1610,ad,9,admissões
1611,ex,9,exposição
1612,di,3,dia
1613,ex,5,excel
1614,dí,6,dívida
1615,li,5,lista
1616,va,5,valor
1617,en,12,entendimento
1618,pa,7,passivo
1619,ne,10,networking
1620,do,8,dobradas
1621,si,5,sigma
1622,ju,13,justificativa
1623,re,3,rep
1624,au,9,automação
1625,oc,6,oceano
1626,pa,9,pagadores
1627,pr,8,presente
1628,as,6,assola
1629,ef,7,efeitos
1630,in,10,interações
1631,ro,12,roteirização
1632,al,9,altamente
1633,ar,10,argumentos
1634,mo,8,monitore
1635,in,11,influências
1636,es,11,espetacular
1637,ex,10,executivas
1638,me,6,mensal
1639,fi,6,finish
1640,ja,6,janela
1641,re,8,registro
1642,fu,7,funções
1643,ma,6,manual
1644,pr,8,processo
1645,de,7,decisão
1646,pa,8,passivos
1647,vs,3,vsm
1648,fu,5,fusão
1649,di,10,direcionam
1650,de,11,derivativos
1651,po,8,position
1652,pr,9,pré-teste
1653,in,12,investigação
1654,di,8,digitais
1655,ad,9,adaptação
1656,en,7,envolve
1657,na,8,natureza
1658,le,4,lead
1659,vá,6,várias
1660,co,7,contato
1661,gu,3,guy
1662,se,5,serem
1663,of,6,office
1664,or,8,oratória
1665,pr,9,prejuízos
1666,sa,9,salariais
1667,pr,11,promocional
1668,di,14,diversificá-lo
1669,se,13,sensibilidade
1670,se,7,sentido
1671,pe,4,pena
1672,ad,10,aduaneiras
1673,cu,7,cuidado
1674,di,8,dissídio
1675,mi,13,microrregiões
1676,id,6,ideias
1677,di,14,direcionadores
1678,co,8,conjoint
1679,mo,6,motivo
1680,es,12,estratégicas
1681,ad,14,adaptabilidade
1682,ap,12,apresentação
1683,in,11,incubadoras
1684,in,12,interrupções
1685,ge,6,gestor
1686,po,5,porta
1687,em,10,emergentes
1688,po,6,points
1689,in,6,início
1690,fo,4,four
1691,ré,6,rédeas
1692,vi,12,viabilizando
1693,se,7,semanal
1694,de,11,desenvolver
1695,co,13,contabilidade
1696,di,14,diagnosticando
1697,fa,6,faixas
1698,po,5,ponta
1699,pa,7,payback
1700,sa,6,saving
1701,mu,10,municípios
1702,of,7,ofertas
1703,co,15,comportamentais
1704,tr,6,trilha
1705,ít,5,ítens
1706,an,5,anual
1707,te,12,tecnológicos
1708,fu,15,funcionalidades
1709,té,7,técnico
1710,re,8,receitas
1711,am,7,amostra
1712,re,8,recentes
1713,va,8,variação
1714,ma,7,maneira
1715,tó,13,tópicos-chave
1716,ex,7,externo
1717,ín,7,índices
1718,ca,15,calls-to-action
1719,co,7,correta
1720,me,9,mensagens
1721,gi,4,giro
1722,in,8,intenção
1723,en,9,eneagrama
1724,ba,6,bacana
1725,di,10,disponível
1726,in,11,influenciar
1727,ra,8,ranquear
1728,ab,8,absoluta
1729,tr,16,transformacional
1730,up,10,up-selling
1731,fe,5,fence
1732,au,11,aumentarmos
1733,eb,6,ebtida
1734,po,5,pouco
1735,no,6,normas
1736,al,9,alinhando
1737,tr,8,trazê-lo
1738,co,7,consome
1739,pr,10,precificar
1740,pr,8,protesto
1741,ge,7,gerando
1742,em,7,empatia
1743,fe,5,feita
1744,2.,3,2.0
1745,al,4,alto
1746,na,10,narrativas
1747,an,8,analisar
1748,ou,8,outcomes
1749,ár,5,áreas
1750,pr,8,problema
1751,fa,5,favor
1752,ci,7,ciência
1753,ri,5,risco
1754,ge,9,gerenciar
1755,co,10,comunidade
1756,ap,13,aprimoramento
1757,de,9,definidos
1758,es,9,essencial
1759,tr,13,transmiti-las
1760,ev,8,evolução
1761,de,10,designadas
1762,ga,4,game
1763,de,9,decisório
1764,of,6,oferta
1765,pr,9,professor
1766,di,4,dias
1767,sl,6,slides
1768,de,10,detalhando
1769,si,11,situacional
1770,al,7,alcance
1771,to,5,todas
1772,pr,13,probabilidade
1773,qu,6,quanto
1774,co,6,compõe
1775,ac,10,acessórias
1776,ma,3,map
1777,po,11,postergação
1778,mu,8,mudanças
1779,re,10,relacionam
1780,e-,10,e-commerce
1781,gr,8,gráficos
1782,eq,6,equity
1783,po,9,position®
1784,cr,3,cro
1785,wa,9,waterfall
1786,pr,11,programação
1787,me,7,medi-lo
1788,at,12,atualizações
1789,lu,6,lucrar
1790,ra,5,rapid
1791,su,7,sucesso
1792,tr,6,traçar
1793,ne,10,negociação
1794,at,12,atratividade
1795,de,9,determina
1796,ne,10,necessária
1797,pr,12,prototipação
1798,et,3,etl
1799,at,7,atingir
1800,in,10,incentivar
1801,ra,4,rate
1802,sy,6,system
1803,do,7,domínio
1804,se,9,segmentos
1805,po,6,porque
1806,re,8,realista
1807,ca,14,característica
1808,as,5,assim
1809,es,8,estresse
1810,de,10,desempenho
1811,po,12,postponement
1812,pa,6,padrão
1813,in,11,inferencial
1814,an,9,ancoragem
1815,im,6,imagem
1816,ap,10,aplicá-las
1817,me,8,melhores
1818,qu,7,quantos
1819,es,9,esperados
1820,me,5,metas
1821,ma,15,macroambientais
1822,cl,12,clickfunnels
1823,pr,12,precificação
1824,mo,7,motivos
1825,gr,6,grupos
1826,te,10,tentativas
1827,pa,6,passos
1828,re,9,realidade
1829,de,9,descobrir
1830,zo,4,zona
1831,fo,10,formatação
1832,su,10,suavização
1833,gr,14,granularidades
1834,tr,7,triagem
1835,mi,4,mini
1836,id,13,identificação
1837,mo,5,moral
1838,al,4,algo
1839,di,8,diversas
1840,vs,3,vs.
1841,pu,5,pulso
1842,es,10,estratégia
1843,un,4,unem
1844,co,8,completo
1845,co,5,coach
1846,po,9,pontuação
1847,co,8,conforme
1848,nú,6,número
1849,ok,3,okr
1850,ip,3,ipi
1851,se,6,servem
1852,nu,5,nuvem
1853,co,8,consegue
1854,re,10,relatórios
1855,de,8,desconto
1856,se,8,sepapiag
1857,vb,3,vbr
1858,ta,4,taxa
1859,ju,9,judiciais
1860,st,3,stj
1861,no,7,noturno
1862,ag,9,agradável
1863,se,7,service
1864,gl,7,globais
1865,ex,9,existente
1866,pa,8,passados
1867,su,6,supply
1868,id,13,identificadas
1869,de,9,descrição
1870,jo,5,jogos
1871,ad,9,aderentes
1872,de,10,descoberta
1873,af,6,afinal
1874,qu,12,questionário
1875,7s,2,7s
1876,ca,5,cargo
1877,di,8,diagnose
1878,mt,3,mts
1879,rp,3,rpa
1880,pe,9,pesquisas
1881,ab,9,abandonar
1882,lo,5,logit
1883,id,11,identificar
1884,se,12,selecionando
1885,tr,11,tributárias
1886,re,9,reduzi-lo
1887,si,8,simulado
1888,ex,9,extraindo
1889,pr,12,presentation
1890,in,13,investimentos
1891,pr,3,pré
1892,du,5,dupla
1893,ex,10,existentes
1894,co,8,correção
1895,lo,4,lote
1896,ad,10,adicionais
1897,au,13,automatização
1898,co,11,convencendo
1899,av,9,avançadas
1900,po,12,pontos-chave
1901,ef,10,eficiência
1902,es,11,estruturada
1903,co,12,consultorias
1904,co,11,corporativa
1905,ma,7,mapping
1906,pe,6,perene
1907,pl,10,plataforma
1908,co,13,controvérsias
1909,ar,10,armadilhas
1910,cr,8,cruciais
1911,di,10,diretrizes
1912,mé,7,méritos
1913,co,9,conjuntos
1914,im,10,imperfeita
1915,ev,9,evidencia
1916,va,5,valey
1917,co,14,constantemente
1918,ap,9,aplicação
1919,pr,9,primeiras
1920,im,8,impactar
1921,pr,12,profissional
1922,ut,8,utilizou
1923,so,6,source
1924,es,6,estilo
1925,de,11,dependentes
1926,sp,6,spruce
1927,do,4,dois
1928,ca,11,catalisador
1929,ef,9,efetuados
1930,a3,2,a3
1931,mi,5,misto
1932,ba,7,balanço
1933,cl,7,cluster
1934,an,3,and
1935,re,7,reunião
1936,tr,13,transformador
1937,fa,10,fabricação
1938,co,10,contemplem
1939,or,2,or
1940,ra,4,raro
1941,ta,7,tarefas
1942,ne,8,negociar
1943,cg,3,cgu
1944,es,10,especifica
1945,tc,3,tco
1946,po,10,powerpoint
1947,co,12,consumidores
1948,jo,5,jorge
1949,en,11,entrevistas
1950,qu,9,qualidade
1951,co,8,coaching
1952,pl,9,planejado
1953,pr,6,primas
1954,bc,3,bcg
1955,de,8,destaque
1956,la,4,lane
1957,mo,13,movimentações
1958,av,8,avançado
1959,pr,9,primários
1960,id,10,identifica
1961,de,12,determinando
1962,ór,6,órgãos
1963,ba,5,banco
1964,ar,8,arriscar
1965,di,11,dimensionar
1966,de,7,defesas
1967,we,10,westendorp
1968,sa,5,saber
1969,ap,6,apenas
1970,ne,11,necessárias
1971,or,12,orçamentário
1972,ca,5,campo
1973,bu,6,buying
1974,tr,8,traction
1975,ap,10,aplicações
1976,or,9,organizar
1977,se,4,seis
1978,so,3,sob
1979,pr,12,professional
1980,co,12,competitivas
1981,po,9,políticas
1982,ha,11,habilidades
1983,vo,5,voice
1984,pr,11,priorizãção
1985,ch,5,chata
1986,at,7,através
1987,fí,6,físico
1988,qu,13,quantitativas
1989,re,9,relevante
1990,fu,13,funcionamento
1991,us,6,usados
1992,se,8,seletivo
1993,ga,5,gantt
1994,me,10,mecanismos
1995,ca,5,casos
1996,re,9,refinando
1997,ne,5,nesta
1998,hi,12,hierarquical
1999,re,8,reafirma
2000,ca,3,cac
2001,em,7,embasar
2002,ca,8,calendar
2003,to,2,to
2004,mi,12,microtarefas
2005,ce,5,certo
2006,im,11,importância
2007,ab,9,abordados
2008,po,14,possibilidades
2009,fr,10,frameworks
2010,mo,8,modernas
2011,ac,8,acelerar
2012,as,8,ascensão
2013,at,6,atraso
2014,te,3,ter
2015,ra,4,raiz
2016,ag,5,agora
2017,tr,9,tributada
2018,pu,12,publicidades
2019,in,10,informação
2020,id,11,idealização
2021,ma,13,manufacturing
2022,co,9,comunicar
2023,mi,4,milk
2024,di,9,dispersão
2025,te,11,tecnológico
2026,po,13,potencializar
2027,nã,14,não-cumulativo
2028,al,5,alexa
2029,fu,8,funciona
2030,ve,8,vermelho
2031,se,8,setorial
2032,re,13,representante
2033,ro,7,roteiro
2034,pr,9,projeções
2035,si,10,silenciosa
2036,lc,3,lci
2037,es,7,esocial
2038,au,9,autônomos
2039,pl,9,planilhas
2040,fa,9,facilitam
2041,en,10,enfrentará
2042,di,11,diagnóstico
2043,st,9,strategic
2044,at,11,atualização
2045,pr,8,predizer
2046,lu,5,lugar
2047,bá,7,básicos
2048,pi,7,picking
2049,de,10,dependente
2050,fo,6,focado
2051,au,9,audiência
2052,ba,8,balanços
2053,de,14,desvalorização
2054,ca,7,calling
2055,si,9,sindicato
2056,ma,6,mapear
2057,de,9,desejados
2058,re,11,rendimentos
2059,at,8,ativação
2060,me,8,mensagem
2061,op,12,oportunidade
2062,es,12,estruturando
2063,in,12,investigando
2064,pe,14,personalidades
2065,ju,12,just-in-time
2066,li,9,liderando
2067,br,6,brasil
2068,ha,8,harmonia
2069,co,9,colaborar
2070,ex,16,ex-colaboradores
2071,re,6,região
2072,re,8,refeitas
2073,na,8,naturais
2074,at,4,atua
2075,de,9,descontos
2076,es,13,especialistas
2077,re,10,realização
2078,va,8,vantagem
2079,ca,13,categorizando
2080,út,4,útil
2081,ob,7,objetos
2082,no,5,novos
2083,13,3,13º
2084,co,13,conscientizar
2085,ex,9,exclusiva
2086,fi,12,fiscalização
2087,qu,12,qualificação
2088,eq,10,equilíbrio
2089,pr,7,prático
2090,tr,13,transformadas
2091,as,8,aspectos
2092,si,6,sinais
2093,fo,7,formato
2094,ab,8,abacaxis
2095,pr,6,prever
2096,em,12,empreendedor
2097,pr,9,primeiros
2098,mi,13,microeconomia
2099,mo,6,montar
2100,im,7,imposto
2101,re,8,refletir
2102,lo,6,locais
2103,we,3,web
2104,tí,7,títulos
2105,se,8,serviços
2106,om,9,ombudsman
2107,ba,6,bastão
2108,pr,9,programas
2109,re,10,relutantes
2110,ps,12,psicológicos
2111,es,14,especializadas
2112,mu,18,multidisciplinares
2113,co,7,concede
2114,pv,3,pvv
2115,ro,4,rota
2116,el,10,eliminando
2117,po,8,podcasts
2118,fi,7,finance
2119,us,7,usá-las
2120,al,8,alicerce
2121,pd,3,pdi
2122,cl,8,clássico
2123,fs,3,fsn
2124,ap,8,aplicado
2125,op,7,opinião
2126,an,6,ansoff
2127,12,2,12
2128,rf,3,rfi
2129,ad,10,aduaneiros
2130,ju,8,jurídica
2131,tó,7,tópicos
2132,aç,4,ação
2133,cr,5,crazy
2134,im,7,imitado
2135,ab,11,abrangência
2136,de,5,desta
2137,me,11,mercadorias
2138,pr,9,priorizar
2139,lo,4,loco
2140,de,7,devedor
2141,to,5,to-be
2142,ve,10,verdadeiro
2143,pr,7,produto
2144,as,8,assemble
2145,di,13,distribuições
2146,de,10,delimitado
2147,de,6,delphi
2148,oc,7,ocasião
2149,ba,6,barato
2150,es,10,estimativa
2151,co,11,componentes
2152,te,10,termomêtro
2153,es,7,estoque
2154,e-,12,e-recruiting
2155,de,10,desenhando
2156,jo,3,job
2157,di,6,direto
2158,ne,16,neurolinguística
2159,do,9,documento
2160,nã,15,não-estruturado
2161,at,10,atualmente
2162,en,5,entes
2163,ar,12,argumentação
2164,mo,11,modalidades
2165,in,11,informações
2166,rq,3,rqf
2167,pa,9,parcerias
2168,co,10,consumidor
2169,de,9,desvendar
2170,di,12,disseminação
2171,ro,3,roi
2172,pe,6,perfil
2173,wi,8,win-loss
2174,ma,9,mailchimp
2175,pr,8,previsão
2176,go,2,go
2177,an,7,analise
2178,po,15,posicionamentos
2179,ni,7,ninguém
2180,fa,8,facebook
2181,af,6,afetam
2182,pe,7,pessoal
2183,de,9,definindo
2184,pe,8,perenize
2185,mr,3,mrr
2186,ex,10,explorando
2187,av,9,avaliação
2188,qu,7,questão
2189,tr,10,trajetória
2190,in,7,interno
2191,in,8,indevido
2192,tr,13,transformação
2193,di,9,dinâmicas
2194,ig,6,iguais
2195,re,8,response
2196,ga,9,garantias
2197,mo,8,montando
2198,fi,13,financiamento
2199,ok,2,ok
2200,st,8,startups
2201,de,12,desligamento
2202,eq,11,equivalente
2203,re,7,relação
2204,ti,4,time
2205,fo,8,forecast
2206,te,7,tesouro
2207,ac,5,acaso
2208,co,11,comunicados
2209,re,7,reserva
2210,ag,6,agenda
2211,cr,4,crie
2212,ní,6,níveis
2213,gr,8,gráficas
2214,du,7,durante
2215,re,11,repetitivas
2216,de,9,determine
2217,oc,7,ocorrem
2218,ad,9,advogados
2219,as,10,assertivas
2220,pr,8,proposta
2221,co,10,competição
2222,ca,5,carga
2223,qu,4,quês
2224,ob,5,obter
2225,im,8,impasses
2226,ou,3,out
2227,ma,9,maximizar
2228,su,7,sujeito
2229,pr,9,protocolo
2230,li,9,linguagem
2231,su,13,surpreendente
2232,mi,3,mix
2233,ma,7,magnets
2234,36,4,360°
2235,mp,3,mpp
2236,sa,6,saindo
2237,pr,7,prontos
2238,te,10,tendências
2239,st,12,stakeholders
2240,fo,6,fortes
2241,fu,12,funcionários
2242,co,13,consequências
2243,oc,8,ocorrerá
2244,bt,3,bto
2245,re,8,resolver
2246,cu,7,custará
2247,ex,8,executar
2248,co,6,contra
2249,va,9,vantagens
2250,co,8,comunica
2251,ag,14,agressivamente
2252,ma,7,marketo
2253,co,12,consolidando
2254,ca,7,calcule
2255,ra,13,racionalidade
2256,co,10,co-relação
2257,ra,6,ratear
2258,be,2,be
2259,ef,10,eficientes
2260,pr,10,promovendo
2261,co,9,coletivos
2262,pa,10,patrocínio
2263,re,12,redesenhando
2264,re,7,redução
2265,de,14,detalhadamente
2266,in,8,indireta
2267,cu,5,curso
2268,re,5,reter
2269,tr,10,transmitir
2270,ap,8,aplicada
2271,su,14,supervisionado
2272,en,12,encerramento
2273,pr,7,program
2274,ci,5,ciclo
2275,en,8,encargos
2276,cr,8,críticas
2277,ex,10,executando
2278,pr,11,propriedade
2279,co,12,competitivos
2280,si,9,simulação
2281,vi,5,visão
2282,ro,8,rotation
2283,re,9,reduzindo
2284,mc,8,mckinsey
2285,ec,8,economês
2286,pr,7,prepare
2287,tr,10,tratamento
2288,ab,9,abordagem
2289,ca,6,cabeça
2290,po,5,power
2291,re,8,referral
2292,im,12,imobilizados
2293,co,9,comprador
2294,es,14,essencialidade
2295,co,13,continuamente
2296,co,10,comparação
2297,cm,3,cmn
2298,in,8,insights
2299,to,3,top
2300,ap,15,aperfeiçoamento
2301,id,5,ideia
2302,ev,8,evitando
2303,co,12,conceituadas
2304,re,13,rentabilidade
2305,mi,7,mindset
2306,ne,10,negotiated
2307,di,12,dificuldades
2308,qu,7,quantas
2309,em,8,employee
2310,20,5,20000
2311,bo,9,bottom-up
2312,fí,6,física
2313,es,12,estruturados
2314,ch,5,chave
2315,co,12,complexidade
2316,co,8,conselho
2317,pr,10,provocadas
2318,no,4,nova
2319,of,7,oficial
2320,di,13,diagnosticada
2321,re,8,rejeição
2322,ân,6,ângulo
2323,mo,11,monitorando
2324,an,8,analysis
2325,de,11,descrevendo
2326,de,13,desmistificar
2327,ec,10,econômicos
2328,fr,9,framework
2329,vu,15,vulnerabilidade
2330,es,11,estipulando
2331,en,6,enxuto
2332,im,7,impacto
2333,pr,7,provado
2334,va,9,validação
2335,al,11,alternative
2336,na,8,nacional
2337,te,11,tecnologias
2338,ge,6,gerado
2339,re,6,return
2340,ac,7,acordos
2341,co,14,confiabilidade
2342,se,8,segmento
2343,me,6,melhor
2344,be,12,benchmarking
2345,up,2,up
2346,an,13,anticorrupção
2347,li,8,lifetime
2348,ob,9,obrigadas
2349,po,15,posicionando-se
2350,al,4,alta
2351,se,11,secundários
2352,es,10,essenciais
2353,tr,11,tributações
2354,ve,3,ved
2355,me,8,melhoria
2356,se,6,seguir
2357,pr,11,priorizados
2358,de,11,determinado
2359,pe,8,personas
2360,ul,12,ultrapassado
2361,re,7,regular
2362,ca,9,campanhas
2363,po,12,posicionaria
2364,oc,3,ocr
2365,at,7,atuando
2366,ma,11,matemáticos
2367,pa,6,pactua
2368,se,5,serve
2369,re,9,realizada
2370,ir,10,irracional
2371,re,6,reação
2372,si,10,simulações
2373,ac,9,aceitável
2374,ps,3,psm
2375,di,11,direcionada
2376,ve,11,verificação
2377,de,12,deficiências
2378,pr,5,prezi
2379,br,9,breakeven
2380,es,12,estatísticos
2381,sc,7,scoring
2382,se,7,setores
2383,em,7,emprego
2384,gr,5,grupo
2385,fó,8,fórmulas
2386,pa,8,parceira
2387,ex,6,extras
2388,bo,5,board
2389,co,12,conceituados
2390,pr,11,priorização
2391,ma,10,manufatura
2392,pr,7,project
2393,ta,5,table
2394,wi,3,win
2395,es,6,escopo
2396,lo,4,load
2397,mi,5,mista
2398,mí,7,mínimos
2399,mo,9,modelagem
2400,in,7,incidem
2401,te,5,tempo
2402,ac,14,activecampaign
2403,si,8,situação
2404,ex,7,extrair
2405,in,14,internacionais
2406,pa,9,paralelas
2407,re,9,remunerar
2408,re,7,reduzir
2409,vi,6,visual
2410,cl,5,claro
2411,co,12,complicações
2412,hu,6,hunter
2413,re,5,reúna
2414,di,14,dissemininação
2415,ma,7,matando
2416,at,8,atrações
2417,pr,13,profissionais
2418,di,8,diminuir
2419,fá,6,fáceis
2420,te,5,teste
2421,cl,13,classificando
2422,pr,9,pre-money
2423,an,10,andragogia
2424,ad,3,ads
2425,pe,11,perspectiva
2426,di,9,dinamismo
2427,tr,5,trade
2428,mo,12,movimentação
2429,ot,10,otimizando
2430,de,11,desdobrando
2431,me,5,mercê
2432,co,7,coração
2433,je,5,jeito
2434,to,4,todo
2435,lc,3,lca
2436,im,7,imersão
2437,lo,9,logística
2438,ef,8,efetivas
2439,re,11,recompensas
2440,se,8,segredos
2441,ca,5,carta
2442,le,7,leilões
2443,pe,11,penalidades
2444,fu,7,futuros
2445,as,9,assegurem
2446,sp,6,sprint
2447,po,8,posições
2448,at,3,ato
2449,in,18,interdepartamental
2450,ot,8,otimizam
